Solucao;CustoTotal;TempoTotal;NumAtracoes;NumBairros;HoraInicio;HoraFim;Bairros;Sequencia;TemposChegada;TemposPartida;ModosTransporte
21;148.01;607.00;7;5;09:00;19:07;Alto da Boa Vista|Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Mosteiro De Sao Bento|Museu Historico Nacional|Escadaria Selaron|Catedral Metropolitana de São Sebastião|Quinta Da Boa Vista|Vista Chinesa|;09:00|10:11|11:21|13:26|14:36|15:44|18:07|;10:00|11:11|13:21|14:26|15:36|17:44|19:07|;Walk|Walk|Car|Walk|Car|Car|
22;171.90;603.00;7;5;09:00;19:03;Alto da Boa Vista|Sao Cristovao|Santa Teresa|Saude|Centro|;Catedral Metropolitana de São Sebastião|Pedra do Sal|Mosteiro De Sao Bento|Museu Historico Nacional|Escadaria Selaron|Quinta Da Boa Vista|Vista Chinesa|;09:00|10:06|11:17|12:27|14:32|15:40|18:03|;10:00|11:06|12:17|14:27|15:32|17:40|19:03|;Car|Walk|Walk|Car|Car|Car|
23;173.23;535.00;7;5;09:00;17:55;Centro|Saude|Santa Teresa|Sao Cristovao|Alto da Boa Vista|;Vista Chinesa|Quinta Da Boa Vista|Escadaria Selaron|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Pedra do Sal|Parque das Ruinas|;09:00|10:22|12:30|13:40|14:45|15:49|16:55|;10:00|12:22|13:30|14:40|15:45|16:49|17:55|;Car|Car|Walk|Walk|Car|Car|
24;184.24;528.00;7;5;09:00;17:48;Centro|Saude|Santa Teresa|Sao Cristovao|Alto da Boa Vista|;Vista Chinesa|Quinta Da Boa Vista|Escadaria Selaron|Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Parque das Ruinas|;09:00|10:22|12:30|13:36|14:39|15:44|16:48|;10:00|12:22|13:30|14:36|15:39|16:44|17:48|;Car|Car|Car|Car|Walk|Car|
25;141.75;589.00;6;5;09:00;18:49;Sao Conrado|Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Igreja de Sao Francisco da Penitência|Catedral Metropolitana de São Sebastião|Escadaria Selaron|Quinta Da Boa Vista|Pedra Bonita|;09:00|10:02|12:10|13:20|14:28|16:49|;10:00|12:02|13:10|14:20|16:28|18:49|;Car|Walk|Walk|Car|Car|
26;143.30;531.00;6;5;09:00;17:51;Alto da Boa Vista|Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Igreja de Sao Francisco da Penitência|Catedral Metropolitana de São Sebastião|Escadaria Selaron|Quinta Da Boa Vista|Vista Chinesa|;09:00|10:02|12:10|13:20|14:28|16:51|;10:00|12:02|13:10|14:20|16:28|17:51|;Car|Walk|Walk|Car|Car|
27;146.84;468.00;6;5;09:00;16:48;Alto da Boa Vista|Sao Cristovao|Centro|Saude|Santa Teresa|;Escadaria Selaron|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Pedra do Sal|Quinta Da Boa Vista|Vista Chinesa|;09:00|10:10|11:15|12:19|13:25|15:48|;10:00|11:10|12:15|13:19|15:25|16:48|;Walk|Walk|Car|Car|Car|
28;171.67;465.00;6;5;09:00;16:45;Alto da Boa Vista|Sao Cristovao|Centro|Saude|Santa Teresa|;Escadaria Selaron|Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Quinta Da Boa Vista|Vista Chinesa|;09:00|10:06|11:09|12:14|13:22|15:45|;10:00|11:06|12:09|13:14|15:22|16:45|;Car|Car|Walk|Car|Car|
29;141.31;406.00;5;5;09:00;15:46;Alto da Boa Vista|Centro|Santa Teresa|Saude|Sao Cristovao|;Quinta Da Boa Vista|Pedra do Sal|Catedral Metropolitana de São Sebastião|Escadaria Selaron|Vista Chinesa|;09:00|11:08|12:11|13:21|14:46|;11:00|12:08|13:11|14:21|15:46|;Car|Car|Walk|Car|
30;149.49;403.00;5;5;09:00;15:43;Centro|Santa Teresa|Saude|Sao Cristovao|Alto da Boa Vista|;Vista Chinesa|Quinta Da Boa Vista|Pedra do Sal|Catedral Metropolitana de São Sebastião|Escadaria Selaron|;09:00|10:22|12:30|13:33|14:43|;10:00|12:22|13:30|14:33|15:43|;Car|Car|Car|Walk|
31;169.08;400.00;5;5;09:00;15:40;Alto da Boa Vista|Sao Cristovao|Centro|Saude|Santa Teresa|;Escadaria Selaron|Pedra do Sal|Catedral Metropolitana de São Sebastião|Quinta Da Boa Vista|Vista Chinesa|;09:00|10:06|11:09|12:17|14:40|;10:00|11:06|12:09|14:17|15:40|;Car|Car|Car|Car|
32;56.66;654.00;7;4;09:00;19:54;Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Mosteiro De Sao Bento|Museu Historico Nacional|Escadaria Selaron|Catedral Metropolitana de São Sebastião|Igreja de Sao Francisco da Penitência|Quinta Da Boa Vista|;09:00|10:11|11:21|13:26|14:36|15:46|17:54|;10:00|11:11|13:21|14:26|15:36|17:46|19:54|;Walk|Walk|Car|Walk|Walk|Car|
33;73.73;587.00;7;4;09:00;18:47;Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Mosteiro De Sao Bento|Museu Historico Nacional|Catedral Metropolitana de São Sebastião|Parque das Ruinas|Escadaria Selaron|Quinta Da Boa Vista|;09:00|10:11|11:21|13:26|14:32|15:39|16:47|;10:00|11:11|13:21|14:26|15:32|16:39|18:47|;Walk|Walk|Car|Car|Walk|Car|
34;85.13;579.00;7;4;09:00;18:39;Sao Cristovao|Santa Teresa|Saude|Centro|;Mosteiro De Sao Bento|Museu Historico Nacional|Pedra do Sal|Catedral Metropolitana de São Sebastião|Parque das Ruinas|Escadaria Selaron|Quinta Da Boa Vista|;09:00|10:10|12:15|13:18|14:24|15:31|16:39|;10:00|12:10|13:15|14:18|15:24|16:31|18:39|;Walk|Car|Car|Car|Walk|Car|
35;230.12;479.00;7;4;09:00;16:59;Saude|Santa Teresa|Centro|Alto da Boa Vista|;Vista Chinesa|Catedral Metropolitana de São Sebastião|Parque das Ruinas|Escadaria Selaron|Pedra do Sal|Bondinho de Santa Teresa|Mosteiro De Sao Bento|;09:00|10:24|11:30|12:37|13:43|14:47|15:59|;10:00|11:24|12:30|13:37|14:43|15:47|16:59|;Car|Car|Walk|Car|Car|Car|
36;48.37;514.00;6;4;09:00;17:34;Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Igreja de Sao Francisco da Penitência|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Escadaria Selaron|Quinta Da Boa Vista|;09:00|10:02|12:10|13:15|14:26|15:34|;10:00|12:02|13:10|14:15|15:26|17:34|;Car|Walk|Walk|Walk|Car|
37;62.44;456.00;6;4;09:00;16:36;Centro|Santa Teresa|Saude|Sao Cristovao|;Quinta Da Boa Vista|Pedra do Sal|Parque das Ruinas|Escadaria Selaron|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|;09:00|11:08|12:14|13:21|14:31|15:36|;11:00|12:08|13:14|14:21|15:31|16:36|;Car|Car|Walk|Walk|Walk|
38;67.32;447.00;6;4;09:00;16:27;Centro|Santa Teresa|Saude|Sao Cristovao|;Quinta Da Boa Vista|Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Parque das Ruinas|Escadaria Selaron|;09:00|11:08|12:11|13:16|14:20|15:27|;11:00|12:08|13:11|14:16|15:20|16:27|;Car|Car|Walk|Car|Walk|
39;117.91;423.00;6;4;09:00;16:03;Alto da Boa Vista|Centro|Santa Teresa|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|Parque das Ruinas|Bondinho de Santa Teresa|Escadaria Selaron|Vista Chinesa|;09:00|10:03|11:09|12:27|13:38|15:03|;10:00|11:03|12:09|13:27|14:38|16:03|;Car|Car|Walk|Walk|Car|
40;119.42;415.00;6;4;09:00;15:55;Alto da Boa Vista|Centro|Santa Teresa|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|Escadaria Selaron|Bondinho de Santa Teresa|Parque das Ruinas|Vista Chinesa|;09:00|10:03|11:13|12:24|13:28|14:55|;10:00|11:03|12:13|13:24|14:28|15:55|;Car|Walk|Walk|Car|Car|
41;129.01;407.00;6;4;09:00;15:47;Alto da Boa Vista|Saude|Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Pedra do Sal|Parque das Ruinas|Escadaria Selaron|Vista Chinesa|;09:00|10:05|11:09|12:15|13:22|14:47|;10:00|11:05|12:09|13:15|14:22|15:47|;Walk|Car|Car|Walk|Car|
42;45.44;454.00;5;4;09:00;16:34;Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Igreja de Sao Francisco da Penitência|Escadaria Selaron|Catedral Metropolitana de São Sebastião|Quinta Da Boa Vista|;09:00|10:02|12:16|13:26|14:34|;10:00|12:02|13:16|14:26|16:34|;Car|Walk|Walk|Car|
43;54.40;387.00;5;4;09:00;15:27;Sao Cristovao|Centro|Saude|Santa Teresa|;Escadaria Selaron|Bondinho de Santa Teresa|Catedral Metropolitana de São Sebastião|Pedra do Sal|Quinta Da Boa Vista|;09:00|10:11|11:15|12:21|13:27|;10:00|11:11|12:15|13:21|15:27|;Walk|Walk|Car|Car|
44;58.03;386.00;5;4;09:00;15:26;Sao Cristovao|Centro|Saude|Santa Teresa|;Bondinho de Santa Teresa|Catedral Metropolitana de São Sebastião|Escadaria Selaron|Pedra do Sal|Quinta Da Boa Vista|;09:00|10:04|11:14|12:20|13:26|;10:00|11:04|12:14|13:20|15:26|;Walk|Walk|Car|Car|
45;67.32;380.00;5;4;09:00;15:20;Centro|Santa Teresa|Saude|Sao Cristovao|;Quinta Da Boa Vista|Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Parque das Ruinas|;09:00|11:08|12:11|13:16|14:20|;11:00|12:08|13:11|14:16|15:20|;Car|Car|Walk|Car|
46;117.91;341.00;5;4;09:00;14:41;Alto da Boa Vista|Centro|Santa Teresa|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|Parque das Ruinas|Escadaria Selaron|Vista Chinesa|;09:00|10:03|11:09|12:16|13:41|;10:00|11:03|12:09|13:16|14:41|;Car|Car|Walk|Car|
47;52.15;316.00;4;4;09:00;14:16;Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Quinta Da Boa Vista|;09:00|10:03|11:08|12:16|;10:00|11:03|12:08|14:16|;Car|Walk|Car|
48;102.20;278.00;4;4;09:00;13:38;Alto da Boa Vista|Centro|Santa Teresa|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|Escadaria Selaron|Vista Chinesa|;09:00|10:03|11:13|12:38|;10:00|11:03|12:13|13:38|;Car|Walk|Car|
49;134.72;274.00;4;4;09:00;13:34;Santa Teresa|Saude|Centro|Alto da Boa Vista|;Vista Chinesa|Catedral Metropolitana de São Sebastião|Pedra do Sal|Escadaria Selaron|;09:00|10:24|11:30|12:34|;10:00|11:24|12:30|13:34|;Car|Car|Car|
50;137.18;273.00;4;4;09:00;13:33;Centro|Saude|Santa Teresa|Alto da Boa Vista|;Vista Chinesa|Escadaria Selaron|Pedra do Sal|Catedral Metropolitana de São Sebastião|;09:00|10:24|11:30|12:33|;10:00|11:24|12:30|13:33|;Car|Car|Car|
